created_at,field1,field2
2025-09-24 09:24:03,1,occupied
2025-09-24 09:25:25,1,occupied
2025-09-25 10:24:36,1,occupied
2025-09-25 10:24:36,1,occupied
2025-09-25 10:25:35,1,occupied
2025-09-25 10:26:30,-,-
2025-09-25 10:26:43,-,-
2025-09-25 10:26:55,-,-
2025-09-25 10:27:07,-,-
2025-09-25 10:27:41,-,-
2025-09-25 10:28:46,-,-
2025-09-25 10:28:47,-,-
2025-09-25 10:28:50,-,-
2025-09-25 10:29:21,-,-
2025-09-25 10:29:25,-,-
2025-09-25 10:29:27,-,-
2025-09-25 10:29:29,-,-
2025-09-25 10:29:35,-,-
2025-09-25 10:29:35,-,-
2025-09-25 10:29:40,-,-
2025-09-25 10:30:36,-,-
2025-09-25 10:31:02,-,-
2025-09-25 10:31:12,-,-
2025-09-25 10:31:51,-,-
2025-09-25 10:31:54,-,-
2025-09-25 10:31:59,-,-
2025-09-25 10:32:02,-,-
2025-09-25 10:32:10,-,-
2025-09-25 10:32:12,-,-
2025-09-25 10:32:13,-,-
2025-09-25 10:32:13,-,-
2025-09-25 10:32:18,-,-
2025-09-25 10:32:21,-,-
2025-09-25 10:32:40,-,-
2025-09-25 10:32:42,-,-
2025-09-25 10:32:54,-,-
2025-09-25 10:33:01,-,-
2025-09-25 10:33:03,-,-
2025-09-25 10:34:00,-,-
2025-09-25 10:34:13,-,-
2025-09-25 10:34:16,-,-
2025-09-25 10:34:47,-,-
2025-09-25 10:34:54,-,-
2025-09-25 10:35:52,-,-
2025-09-25 10:36:00,-,-
2025-09-25 10:36:07,-,-
2025-09-25 10:36:09,-,-
2025-09-25 10:36:10,-,-
2025-09-25 10:36:40,-,-
2025-09-25 10:36:40,-,-
2025-09-25 10:36:56,-,-
2025-09-25 10:37:18,-,-
2025-09-25 10:37:35,-,-
2025-09-25 10:37:54,-,-
2025-09-25 10:38:40,-,-
2025-09-25 10:39:00,-,-
2025-09-25 10:39:27,-,-
2025-09-25 10:39:32,-,-
2025-09-25 10:39:35,-,-
2025-09-25 10:39:38,-,-
2025-09-25 10:39:38,-,-
2025-09-25 10:39:40,-,-
2025-09-25 10:39:41,-,-
2025-09-25 10:39:45,-,-
2025-09-25 10:39:51,-,-
2025-09-25 10:40:07,-,-
2025-09-25 10:40:33,-,-
2025-09-25 10:40:34,-,-
2025-09-25 10:41:07,-,-
2025-09-25 10:41:11,-,-
2025-09-25 10:41:14,-,-
2025-09-25 10:41:15,-,-
2025-09-25 10:41:17,-,-
2025-09-25 10:41:26,-,-
2025-09-25 10:42:13,-,-
2025-09-25 10:42:29,-,-
2025-09-25 10:42:33,-,-
2025-09-25 10:42:36,-,-
2025-09-25 10:42:41,-,-
2025-09-25 10:42:46,-,-
2025-09-25 10:42:50,-,-
2025-09-25 10:42:55,-,-
2025-09-25 10:42:59,-,-
2025-09-25 10:43:05,-,-
2025-09-25 10:43:12,-,-
2025-09-25 10:43:17,-,-
2025-09-25 10:43:42,-,-
2025-09-25 10:43:45,-,-
2025-09-25 10:44:19,-,-
2025-09-25 10:44:23,-,-
2025-09-25 10:44:39,-,-
2025-09-25 10:44:47,-,-
2025-09-25 10:44:47,-,-
2025-09-25 10:44:52,-,-
2025-09-25 10:44:54,-,-
2025-09-25 10:44:55,-,-
2025-09-25 10:45:00,-,-
2025-09-25 10:45:05,-,-
2025-09-25 10:45:10,-,-
2025-09-25 10:45:15,-,-
2025-09-25 10:45:20,-,-
2025-09-25 10:45:36,-,-
2025-09-25 10:45:37,-,-
2025-09-25 10:45:38,-,-
2025-09-25 10:45:39,-,-
2025-09-25 10:45:42,-,-
2025-09-25 10:45:47,-,-
2025-09-25 10:45:48,-,-
2025-09-25 10:45:57,-,-
2025-09-25 10:45:59,-,-
2025-09-25 10:46:03,-,-
2025-09-25 10:46:08,-,-
2025-09-25 10:46:13,-,-
2025-09-25 10:46:15,-,-
2025-09-25 10:46:20,-,-
2025-09-25 10:46:24,-,-
2025-09-25 10:46:25,-,-
2025-09-25 10:46:54,-,-
2025-09-25 10:48:02,-,-
2025-09-25 10:48:10,-,-
2025-09-25 10:48:22,-,-
2025-09-25 10:48:22,-,-
2025-09-25 10:48:23,-,-
2025-09-25 10:48:29,-,-
2025-09-25 10:48:33,-,-
2025-09-25 10:48:42,-,-
2025-09-25 10:48:59,-,-
2025-09-25 10:49:26,-,-
2025-09-25 10:49:32,-,-
2025-09-25 10:49:33,-,-
2025-09-25 10:49:34,-,-
2025-09-25 10:49:51,-,-
2025-09-25 10:50:11,-,-
2025-09-25 10:50:13,-,-
2025-09-25 10:50:15,-,-
2025-09-25 10:50:20,-,-
2025-09-25 10:50:26,-,-
2025-09-25 10:50:26,-,-
2025-09-25 10:50:31,-,-
2025-09-25 10:50:36,-,-
2025-09-25 10:50:41,-,-
2025-09-25 10:51:05,-,-
2025-09-25 10:51:43,-,-
2025-09-25 10:51:48,-,-
2025-09-25 10:51:53,-,-
2025-09-25 10:51:58,-,-
2025-09-25 10:52:19,-,-
2025-09-25 10:52:28,-,-
2025-09-25 10:52:30,-,-
2025-09-25 10:52:34,-,-
2025-09-25 10:54:59,-,-
2025-09-25 10:55:04,-,-
2025-09-25 10:55:12,-,-
2025-09-25 10:55:18,-,-
2025-09-25 10:55:40,-,-
2025-09-25 10:55:48,-,-
2025-09-25 10:55:53,-,-
2025-09-25 10:55:59,-,-
2025-09-25 10:56:04,-,-
2025-09-25 10:56:09,-,-
2025-09-25 10:56:42,-,-
2025-09-25 10:56:48,-,-
2025-09-25 10:56:53,-,-
2025-09-25 10:56:59,-,-
2025-09-25 10:57:06,-,-
2025-09-25 10:57:17,-,-
2025-09-25 10:57:33,-,-
2025-09-25 10:57:40,-,-
2025-09-25 10:57:40,-,-
2025-09-25 10:57:52,-,-
2025-09-25 10:57:55,-,-
2025-09-25 10:58:00,-,-
2025-09-25 10:58:08,-,-
2025-09-25 10:58:08,-,-
2025-09-25 10:58:13,-,-
2025-09-25 10:58:21,-,-
2025-09-25 10:58:26,-,-
2025-09-25 10:58:34,-,-
2025-09-25 10:58:39,-,-
2025-09-25 10:58:47,-,-
2025-09-25 10:58:49,-,-
2025-09-25 10:58:55,-,-
2025-09-25 10:59:06,-,-
2025-09-25 10:59:08,-,-
2025-09-25 10:59:13,-,-
2025-09-25 10:59:18,-,-
2025-09-25 10:59:26,-,-
2025-09-25 10:59:31,-,-
2025-09-25 10:59:36,-,-
